id,location,latitude,longitude,area_sqm,bedrooms,bathrooms,toilets,stories,house_type,furnishing,condition,parking_spaces,distance_to_city_center_km,proximity_to_main_road_km,security_rating,infrastructure_quality,electricity_stability,water_supply,neighborhood_prestige,desirability_score,price_naira,is_outlier,outlier_reason
14,Bodija,7.445353,3.911108,334,4,3,3,2,Detached House,Unfurnished,Renovated,2,9.6,0.67,9.0,10.0,9.0,10.0,5,5.0,95800000,False,
15,Jericho,7.411521,3.895964,156,2,2,2,1,Bungalow,Unfurnished,New,3,10.0,1.43,8.6,6.9,9.0,7.7,4,4.8,39800000,False,
16,Iyaganku GRA,7.405789,3.863536,451,4,4,5,2,Duplex,Furnished,Renovated,4,4.1,0.58,9.0,9.2,5.6,8.1,4,4.6,236200000,False,
17,Bodija,7.438349,3.915499,454,4,4,4,2,Duplex,Furnished,Renovated,2,5.9,0.25,9.6,10.0,7.4,10.0,5,5.0,191800000,False,
18,Agodi GRA,7.414375,3.890005,318,3,4,4,2,Duplex,Unfurnished,Old,3,5.2,0.74,7.3,8.0,5.4,9.9,4,4.7,109400000,False,
19,Samonda,7.420717,3.893955,180,3,4,4,2,Terraced House,Unfurnished,Renovated,1,9.6,1.68,5.3,4.9,6.2,6.4,3,3.2,16200000,False,
20,Challenge,7.345018,3.893941,204,3,2,3,2,Terraced House,Unfurnished,New,2,15.4,0.41,4.0,7.7,7.0,5.2,3,3.8,9400000,False,
21,Bodija,7.433258,3.904196,157,2,3,4,1,Bungalow,Semi-Furnished,Old,3,6.2,0.13,10.0,10.0,9.0,8.6,5,5.0,52100000,False,
22,Samonda,7.425998,3.919565,82,1,1,1,1,Mini Flat,Semi-Furnished,Old,0,12.6,2.57,8.3,5.3,7.1,6.7,3,3.2,5800000,False,
23,Apete,7.435277,3.85803,72,1,1,2,1,Mini Flat,Unfurnished,Old,2,14.1,2.48,5.9,6.7,3.0,5.8,2,2.8,3500000,False,
24,Oluyole Estate,7.361547,3.852158,315,4,5,6,1,Bungalow,Unfurnished,New,2,6.7,2.03,7.4,9.0,6.8,7.0,4,4.2,44600000,False,
25,Challenge,7.340806,3.877861,170,2,1,2,1,Flat,Unfurnished,Old,2,11.8,2.04,10.0,8.0,3.0,7.6,3,3.8,7000000,False,
26,Agodi GRA,7.409625,3.88824,176,2,3,4,1,Bungalow,Semi-Furnished,Old,3,8.9,2.82,10.0,9.1,9.0,8.1,4,4.7,89300000,False,
27,Oluyole Estate,7.367656,3.858519,340,4,4,4,2,Duplex,Furnished,Old,3,5.4,0.77,7.5,9.6,4.6,8.9,4,4.2,38400000,False,
28,Alalubosa,7.390548,3.863349,174,2,2,2,2,Terraced House,Semi-Furnished,Renovated,2,2.4,1.27,7.7,8.5,7.8,8.9,4,4.3,41100000,False,
29,Bodija,7.449633,3.913834,406,4,4,5,2,Duplex,Furnished,Renovated,3,13.3,2.76,10.0,9.7,9.0,10.0,5,5.0,173600000,False,
30,Agodi GRA,7.411827,3.901943,249,2,3,3,1,Bungalow,Semi-Furnished,New,2,7.5,2.14,9.3,9.9,9.0,8.5,4,4.7,118600000,False,
31,Bodija,7.441227,3.920956,365,4,5,5,3,Detached House,Unfurnished,New,4,8.1,2.29,9.9,10.0,8.7,10.0,5,5.0,160100000,False,
32,Alalubosa,7.39733,3.871807,455,4,4,5,2,Duplex,Unfurnished,Old,3,4.8,0.92,7.0,8.1,5.4,7.8,4,4.3,72600000,False,
33,Bodija,7.442245,3.908416,350,4,3,3,2,Duplex,Unfurnished,New,3,10.0,1.78,10.0,7.5,6.8,10.0,5,5.0,135900000,False,
34,Alalubosa,7.383978,3.856086,190,2,3,4,1,Terraced House,Unfurnished,Old,3,2.6,0.44,7.9,8.0,4.3,8.1,4,4.3,24200000,False,
35,Oluyole Estate,7.370393,3.854723,274,3,4,4,1,Bungalow,Furnished,New,3,8.8,1.0,6.7,7.0,7.8,8.2,4,4.2,45700000,False,
36,Jericho,7.396094,3.883203,460,4,3,3,2,Duplex,Unfurnished,Renovated,3,8.4,2.76,5.2,8.9,7.7,9.1,4,4.8,107100000,False,
37,Samonda,7.441447,3.911342,156,2,2,3,1,Terraced House,Unfurnished,Renovated,1,9.4,2.2,4.8,6.3,8.4,5.5,3,3.2,13200000,False,
38,Oluyole Estate,7.371607,3.863087,259,3,3,3,1,Bungalow,Unfurnished,Renovated,2,9.9,0.69,5.3,8.3,6.9,7.8,4,4.2,33600000,False,
39,Oluyole Estate,7.3422,3.860676,376,4,3,4,1,Bungalow,Unfurnished,New,2,9.6,0.67,8.8,8.9,9.0,7.7,4,4.2,59700000,False,
40,Iyaganku GRA,7.379694,3.884539,595,6,5,6,3,Detached House,Furnished,New,4,5.7,1.22,8.4,9.2,7.9,8.3,4,4.6,354300000,False,
41,Agodi GRA,7.40032,3.898222,484,4,5,6,2,Duplex,Semi-Furnished,New,4,4.4,0.44,9.9,9.2,6.9,9.2,4,4.7,260100000,False,
42,Challenge,7.333142,3.885146,266,2,2,3,1,Terraced House,Semi-Furnished,Renovated,1,10.6,1.79,5.5,6.9,6.4,6.5,3,3.8,8800000,False,
43,Iyaganku GRA,7.387931,3.850987,307,4,5,5,2,Detached House,Unfurnished,New,3,4.2,2.78,9.1,8.6,5.3,9.3,4,4.6,172800000,False,
44,Bodija,7.436657,3.908394,348,4,3,4,1,Bungalow,Unfurnished,Renovated,2,7.8,0.29,9.0,10.0,8.6,10.0,5,5.0,104200000,False,
45,Akobo,7.399904,3.918554,109,1,2,2,1,Flat,Unfurnished,Old,1,13.6,1.18,6.2,7.4,7.8,6.1,3,3.5,6600000,False,
46,Alalubosa,7.382914,3.859932,255,3,3,4,2,Duplex,Semi-Furnished,Renovated,2,2.0,0.16,7.6,5.7,9.0,7.7,4,4.3,56600000,False,
47,Jericho,7.392203,3.883166,387,3,4,4,2,Duplex,Furnished,Renovated,3,5.5,1.73,9.0,9.8,8.5,8.1,4,4.8,161900000,False,
48,Alalubosa,7.394087,3.859522,152,2,1,2,1,Bungalow,Unfurnished,Renovated,2,3.5,0.27,6.2,7.4,7.2,8.7,4,4.3,23700000,False,
49,Agodi GRA,7.411849,3.891915,473,5,5,7,3,Detached House,Furnished,Renovated,2,6.8,2.0,8.7,8.3,7.4,9.4,4,4.7,175400000,True,distressed sale
50,Samonda,7.435031,3.914021,258,3,3,3,2,Terraced House,Semi-Furnished,Old,1,7.7,1.57,4.0,7.2,4.4,5.7,3,3.2,18100000,False,
51,Akobo,7.419239,3.910414,119,1,2,2,1,Flat,Furnished,New,1,8.9,1.55,7.7,6.2,7.6,5.1,3,3.5,9000000,False,
52,Iyaganku GRA,7.398237,3.879117,289,3,4,5,2,Duplex,Semi-Furnished,Renovated,3,6.5,2.63,10.0,8.2,9.0,9.2,4,4.6,147700000,False,
53,Akobo,7.402121,3.90658,299,4,3,4,1,Bungalow,Furnished,New,0,11.1,1.84,8.1,6.1,7.7,8.9,3,3.5,41000000,False,
54,Iyaganku GRA,7.393056,3.869849,297,3,3,3,2,Duplex,Semi-Furnished,Old,3,3.6,2.77,7.8,7.3,9.0,9.2,4,4.6,131800000,False,
55,Alalubosa,7.378018,3.872587,472,5,4,5,2,Duplex,Furnished,Old,2,4.0,2.46,7.4,6.5,4.3,9.0,4,4.3,76800000,False,
56,Samonda,7.431532,3.910173,183,2,3,3,1,Bungalow,Unfurnished,Renovated,1,12.9,0.63,6.7,4.0,5.1,7.9,3,3.2,14300000,False,
57,Oluyole Estate,7.366089,3.86177,223,3,4,5,2,Terraced House,Unfurnished,New,2,5.6,1.42,9.1,8.1,3.6,8.3,4,4.2,40400000,False,
58,Samonda,7.427735,3.922797,248,4,5,5,2,Terraced House,Semi-Furnished,New,2,11.2,2.6,5.9,5.9,5.9,4.5,3,3.2,21700000,False,
59,Oluyole Estate,7.369579,3.845861,194,2,3,4,1,Bungalow,Semi-Furnished,Renovated,2,5.6,1.34,6.7,7.9,3.3,8.7,4,4.2,32200000,False,
60,Jericho,7.402034,3.872174,223,3,4,4,1,Bungalow,Furnished,New,3,2.6,2.14,10.0,8.7,6.4,9.2,4,4.8,93200000,False,
61,Akobo,7.405035,3.918838,181,2,3,3,1,Bungalow,Unfurnished,Renovated,1,6.8,2.71,8.6,6.3,4.2,8.1,3,3.5,12900000,False,
62,Bodija,7.437763,3.905434,303,3,4,5,2,Duplex,Unfurnished,New,2,10.7,0.27,7.3,9.9,6.3,9.3,5,5.0,87600000,False,
63,Samonda,7.425693,3.90534,386,4,4,5,1,Bungalow,Unfurnished,New,1,7.3,0.26,4.0,5.5,4.2,4.6,3,3.2,32700000,False,
64,Oluyole Estate,7.359887,3.863521,166,2,1,2,2,Terraced House,Semi-Furnished,New,3,7.5,0.69,8.5,7.2,4.4,7.0,4,4.2,27900000,False,
65,Apete,7.459582,3.86026,272,4,3,4,1,Bungalow,Unfurnished,Renovated,1,17.9,1.91,4.6,4.4,3.0,4.0,2,2.8,15200000,False,
66,Challenge,7.328956,3.878731,276,3,3,3,1,Terraced House,Unfurnished,Renovated,2,13.1,2.67,7.0,6.1,9.0,7.6,3,3.8,8800000,False,
67,Alalubosa,7.388384,3.864334,393,5,4,5,1,Bungalow,Furnished,Renovated,3,4.4,2.53,9.8,7.4,7.2,7.1,4,4.3,95900000,False,
68,Akobo,7.38863,3.914699,195,2,1,1,1,Bungalow,Unfurnished,New,0,11.2,2.78,9.5,8.0,6.8,7.4,3,3.5,10300000,False,
69,Agodi GRA,7.417709,3.894561,411,5,4,6,2,Detached House,Furnished,New,3,6.0,1.42,10.0,10.0,9.0,8.8,4,4.7,241500000,False,
70,Akobo,7.390278,3.904717,279,4,3,3,1,Terraced House,Furnished,Renovated,0,12.3,2.01,6.9,7.4,6.1,7.2,3,3.5,22200000,False,
71,Akobo,7.386524,3.923989,99,1,2,3,1,Mini Flat,Unfurnished,Old,1,9.3,1.59,4.3,6.2,6.7,7.1,3,3.5,7300000,False,
72,Jericho,7.405933,3.891194,568,5,5,6,1,Detached House,Semi-Furnished,New,3,7.6,1.49,8.7,9.0,8.3,9.7,4,4.8,204700000,False,
73,Akobo,7.405529,3.912079,138,2,3,3,2,Terraced House,Unfurnished,New,1,14.1,0.46,9.4,7.0,7.9,9.1,3,3.5,19200000,False,
74,Alalubosa,7.388161,3.863282,164,2,3,3,2,Terraced House,Furnished,New,3,4.5,2.62,6.5,8.8,5.6,8.2,4,4.3,57700000,False,
75,Bodija,7.427757,3.930963,595,6,5,6,2,Detached House,Unfurnished,New,4,9.8,2.45,10.0,10.0,9.0,9.5,5,5.0,171300000,False,
76,Jericho,7.410823,3.888158,351,3,3,3,1,Bungalow,Semi-Furnished,New,3,5.7,0.16,10.0,7.9,7.2,10.0,4,4.8,83400000,False,
77,Samonda,7.428224,3.918346,270,3,3,3,1,Bungalow,Unfurnished,Renovated,0,11.6,2.98,8.4,6.8,5.6,4.1,3,3.2,25000000,False,
78,Bodija,7.41845,3.917273,407,4,3,4,2,Duplex,Furnished,Renovated,4,5.2,1.4,8.9,10.0,8.6,10.0,5,5.0,111900000,False,
79,Jericho,7.393562,3.879475,442,5,4,4,1,Detached House,Semi-Furnished,Renovated,4,8.1,1.68,8.5,7.2,9.0,8.9,4,4.8,128000000,False,
80,Challenge,7.316266,3.880951,193,2,2,3,1,Flat,Furnished,Old,1,11.6,2.24,6.7,6.8,5.7,5.0,3,3.8,6300000,False,
81,Agodi GRA,7.404765,3.88923,348,4,3,3,2,Detached House,Semi-Furnished,New,2,3.8,2.76,9.4,8.5,5.6,10.0,4,4.7,169000000,False,
82,Alalubosa,7.388554,3.859199,194,3,4,4,1,Bungalow,Unfurnished,Renovated,2,2.2,2.52,7.2,9.0,8.6,9.2,4,4.3,38300000,False,
83,Akobo,7.397953,3.921101,203,3,3,4,2,Terraced House,Unfurnished,Renovated,0,10.6,0.57,6.7,7.6,6.8,7.3,3,3.5,15500000,False,
84,Akobo,7.396946,3.909517,190,3,3,4,1,Flat,Unfurnished,New,1,13.1,1.96,8.6,6.8,4.2,6.4,3,3.5,15900000,False,
85,Samonda,7.439592,3.909638,252,2,1,2,1,Terraced House,Semi-Furnished,Renovated,1,9.0,0.49,5.7,5.0,9.0,5.0,3,3.2,19600000,False,
86,Akobo,7.397786,3.920863,200,2,2,3,1,Bungalow,Unfurnished,Old,1,11.0,1.74,8.8,7.7,9.0,8.4,3,3.5,10400000,False,
87,Samonda,7.419446,3.893153,356,4,3,4,1,Bungalow,Semi-Furnished,Renovated,1,12.0,0.14,4.7,8.0,5.0,6.1,3,3.2,27800000,False,
88,Jericho,7.39712,3.885185,472,5,5,5,2,Detached House,Semi-Furnished,New,3,5.4,0.83,9.8,8.4,7.6,9.0,4,4.8,168600000,False,
89,Iyaganku GRA,7.388507,3.86715,427,4,4,4,2,Detached House,Unfurnished,New,3,7.7,2.8,10.0,10.0,9.0,8.3,4,4.6,222600000,False,
90,Samonda,7.438678,3.906721,192,2,2,3,2,Terraced House,Unfurnished,Renovated,1,3.1,0.96,4.0,5.3,3.0,8.3,3,3.2,12100000,False,
91,Akobo,7.391365,3.919282,134,2,2,4,2,Terraced House,Unfurnished,Renovated,1,8.7,2.9,6.1,5.1,7.6,6.5,3,3.5,10000000,False,
92,Samonda,7.446818,3.902176,188,2,1,3,1,Bungalow,Unfurnished,Old,1,10.0,0.74,8.8,6.9,3.0,4.2,3,3.2,11000000,False,
93,Iyaganku GRA,7.397835,3.871241,442,5,4,4,3,Detached House,Unfurnished,New,3,5.4,1.57,9.9,8.5,7.2,8.4,4,4.6,228100000,False,
94,Iyaganku GRA,7.386127,3.863789,383,3,3,3,2,Duplex,Semi-Furnished,Renovated,3,3.8,0.39,7.8,9.9,8.7,8.0,4,4.6,143500000,False,
95,Challenge,7.335426,3.883216,108,1,2,3,1,Flat,Unfurnished,New,0,10.8,0.8,8.4,6.7,9.0,6.8,3,3.8,3500000,False,
96,Challenge,7.324365,3.889938,257,3,2,2,1,Bungalow,Furnished,New,0,12.7,2.05,7.1,6.0,6.6,5.7,3,3.8,10600000,False,
97,Bodija,7.439851,3.919023,537,4,3,3,2,Detached House,Furnished,Renovated,2,6.5,2.57,8.0,10.0,9.0,10.0,5,5.0,165000000,False,
98,Oluyole Estate,7.362347,3.843941,246,3,4,5,1,Terraced House,Unfurnished,New,2,8.7,0.95,8.1,8.2,7.0,5.3,4,4.2,23900000,False,
99,Akobo,7.382686,3.926932,303,3,4,4,1,Bungalow,Unfurnished,Renovated,0,12.9,2.52,7.4,6.5,4.8,6.6,3,3.5,18600000,False,
100,Challenge,7.335399,3.888343,112,1,1,2,1,Flat,Unfurnished,New,1,11.7,1.95,5.9,6.6,7.1,7.7,3,3.8,4700000,False,
101,Alalubosa,7.37229,3.851901,369,4,3,4,1,Bungalow,Unfurnished,Renovated,1,2.0,2.42,10.0,6.4,9.0,5.8,4,4.3,51300000,False,
102,Alalubosa,7.381929,3.854364,377,4,5,5,2,Duplex,Unfurnished,New,2,2.0,0.26,8.1,10.0,6.5,7.6,4,4.3,87200000,False,
103,Jericho,7.396446,3.896699,384,4,3,3,1,Bungalow,Semi-Furnished,New,3,2.0,0.67,9.1,5.6,7.5,9.4,4,4.8,133800000,False,
104,Akobo,7.414211,3.913736,173,2,2,3,1,Bungalow,Unfurnished,Old,1,9.8,0.85,8.4,8.2,6.3,7.6,3,3.5,14400000,False,
105,Iyaganku GRA,7.385716,3.860659,321,4,3,3,1,Detached House,Semi-Furnished,New,3,3.3,0.44,7.5,10.0,9.0,7.9,4,4.6,148900000,False,
106,Alalubosa,7.378281,3.86831,369,4,3,5,1,Detached House,Semi-Furnished,Old,2,3.1,1.89,6.6,9.5,5.9,7.2,4,4.3,59200000,False,
107,Bodija,7.431668,3.920791,347,3,4,6,1,Bungalow,Semi-Furnished,New,2,7.6,2.31,10.0,8.9,5.6,10.0,5,5.0,116900000,False,
108,Iyaganku GRA,7.396482,3.860234,365,4,4,5,1,Bungalow,Furnished,Old,3,4.2,1.12,9.1,8.3,5.9,9.6,4,4.6,181400000,False,
109,Bodija,7.441512,3.907795,189,2,1,1,1,Bungalow,Furnished,New,2,8.1,0.14,9.4,8.3,9.0,10.0,5,5.0,81400000,False,
110,Bodija,7.436811,3.900309,326,3,2,3,1,Bungalow,Unfurnished,Renovated,4,9.8,2.94,9.7,8.0,9.0,10.0,5,5.0,70300000,False,
111,Bodija,7.428678,3.920033,168,2,2,2,1,Bungalow,Unfurnished,New,3,9.0,0.65,10.0,9.6,7.7,10.0,5,5.0,56000000,False,
112,Akobo,7.405593,3.932022,360,4,5,6,1,Bungalow,Semi-Furnished,Renovated,0,9.9,1.97,7.0,7.4,9.0,9.0,3,3.5,36200000,False,
113,Alalubosa,7.393291,3.86337,285,3,4,6,2,Duplex,Semi-Furnished,Renovated,1,4.3,1.11,9.0,10.0,9.0,7.4,4,4.3,60600000,False,
114,Samonda,7.426358,3.91029,157,2,3,4,1,Terraced House,Unfurnished,Old,1,7.6,1.94,6.0,6.7,3.7,4.7,3,3.2,7600000,False,
115,Bodija,7.423769,3.911644,574,5,4,5,3,Detached House,Furnished,Renovated,4,7.3,2.07,10.0,9.1,6.9,10.0,5,5.0,203000000,False,
116,Jericho,7.411456,3.882415,446,5,5,7,2,Duplex,Semi-Furnished,New,3,8.9,1.94,9.0,10.0,7.0,8.5,4,4.8,127600000,False,
117,Oluyole Estate,7.359318,3.849416,144,2,1,1,1,Terraced House,Semi-Furnished,New,1,11.7,1.16,7.6,7.2,8.5,8.2,4,4.2,21700000,False,
118,Alalubosa,7.380151,3.874317,367,4,5,6,1,Bungalow,Unfurnished,Old,2,2.0,2.98,8.3,7.9,6.6,7.9,4,4.3,65700000,False,
119,Jericho,7.389623,3.885897,309,4,3,3,1,Detached House,Furnished,Renovated,3,6.1,2.74,10.0,8.7,8.6,7.3,4,4.8,94300000,False,
120,Samonda,7.431712,3.911972,95,1,2,2,1,Flat,Semi-Furnished,New,1,9.4,0.8,4.0,6.7,5.4,6.3,3,3.2,12000000,False,
121,Challenge,7.339274,3.878452,66,1,2,4,1,Mini Flat,Furnished,Renovated,1,6.4,1.19,6.4,5.8,5.6,6.6,3,3.8,4300000,False,
122,Alalubosa,7.371244,3.856844,380,5,4,4,1,Bungalow,Unfurnished,Renovated,3,2.0,1.2,9.6,7.9,6.6,7.0,4,4.3,63400000,False,
123,Oluyole Estate,7.372527,3.85603,361,5,4,4,1,Bungalow,Furnished,New,2,7.7,0.18,6.6,6.7,4.2,6.4,4,4.2,57200000,False,
124,Jericho,7.392941,3.884088,282,3,2,2,1,Bungalow,Unfurnished,Renovated,4,6.2,1.26,9.7,7.6,7.7,10.0,4,4.8,73500000,False,
125,Jericho,7.403083,3.870394,392,4,3,4,1,Bungalow,Unfurnished,New,2,8.2,0.77,9.3,10.0,6.4,10.0,4,4.8,97300000,False,
126,Akobo,7.389796,3.909169,151,2,2,2,2,Terraced House,Unfurnished,Old,1,11.7,2.26,6.7,7.9,3.7,10.0,3,3.5,14900000,False,
127,Jericho,7.41089,3.894881,414,5,4,4,1,Detached House,Semi-Furnished,Renovated,3,3.3,0.22,8.6,7.5,5.8,7.4,4,4.8,155800000,False,
128,Alalubosa,7.380161,3.866137,240,3,3,4,1,Bungalow,Semi-Furnished,Old,2,2.0,2.56,5.9,7.2,9.0,8.4,4,4.3,37700000,False,
129,Oluyole Estate,7.361971,3.864959,390,4,3,3,1,Bungalow,Unfurnished,Old,3,4.9,2.16,8.2,9.2,4.1,6.8,4,4.2,48900000,False,
130,Jericho,7.3979,3.890693,237,3,3,3,1,Bungalow,Unfurnished,New,2,7.0,1.21,7.5,7.2,5.6,7.9,4,4.8,73800000,False,
131,Challenge,7.32012,3.872008,270,3,4,5,1,Bungalow,Semi-Furnished,Renovated,1,12.1,0.13,5.8,7.0,4.6,8.4,3,3.8,15700000,False,
132,Challenge,7.348488,3.880818,368,4,4,6,1,Bungalow,Unfurnished,Renovated,1,12.2,0.22,9.4,6.1,3.1,6.5,3,3.8,17300000,False,
133,Bodija,7.433805,3.905089,374,4,3,3,2,Detached House,Semi-Furnished,Renovated,4,7.5,2.82,10.0,9.3,9.0,10.0,5,5.0,155200000,False,
134,Bodija,7.43742,3.925056,347,4,3,3,2,Detached House,Semi-Furnished,New,2,5.4,1.56,8.9,10.0,9.0,10.0,5,5.0,106400000,False,
135,Bodija,7.437451,3.905772,370,4,3,4,3,Detached House,Furnished,Renovated,2,9.8,0.22,8.4,8.8,8.3,10.0,5,5.0,109400000,False,
136,Oluyole Estate,7.366546,3.831454,372,4,5,5,2,Duplex,Unfurnished,Old,2,9.1,1.91,6.8,7.2,8.1,8.9,4,4.2,43000000,False,
137,Apete,7.449331,3.88076,283,3,2,3,2,Terraced House,Unfurnished,Old,1,17.2,2.34,4.0,4.2,5.3,5.7,2,2.8,7000000,False,
138,Challenge,7.342695,3.876442,259,2,3,4,1,Terraced House,Unfurnished,Old,1,13.0,2.01,6.0,8.8,6.2,7.6,3,3.8,12200000,False,
139,Samonda,7.425028,3.91649,357,4,4,5,1,Bungalow,Furnished,Renovated,1,8.2,1.41,6.5,6.3,3.5,5.2,3,3.2,26600000,False,
140,Akobo,7.401115,3.906849,119,1,1,1,1,Flat,Unfurnished,New,0,10.0,1.51,7.1,6.5,7.0,5.5,3,3.5,10400000,False,
141,Oluyole Estate,7.361129,3.856926,263,2,1,1,1,Terraced House,Unfurnished,Renovated,1,7.5,1.46,8.0,9.6,9.0,7.6,4,4.2,16300000,False,
142,Iyaganku GRA,7.366772,3.874127,494,5,5,5,2,Detached House,Semi-Furnished,New,2,4.7,1.2,7.7,8.9,5.2,9.8,4,4.6,217200000,False,
143,Samonda,7.431382,3.921962,183,3,2,3,1,Flat,Semi-Furnished,Renovated,2,9.6,1.11,5.7,6.1,4.8,6.4,3,3.2,16400000,False,
144,Alalubosa,7.385951,3.874285,325,3,3,3,1,Bungalow,Unfurnished,Old,1,2.8,2.55,10.0,6.2,9.0,8.5,4,4.3,40600000,False,
145,Akobo,7.393158,3.923047,263,3,4,6,2,Terraced House,Furnished,Old,1,10.2,1.24,6.9,6.0,9.0,7.9,3,3.5,26400000,False,
146,Bodija,7.439219,3.911632,324,4,5,5,3,Detached House,Furnished,Renovated,3,9.7,2.2,10.0,9.1,9.0,8.8,5,5.0,102400000,False,
147,Bodija,7.431181,3.914638,527,5,4,4,2,Detached House,Unfurnished,New,4,7.1,0.62,10.0,9.1,7.6,9.1,5,5.0,159700000,False,
148,Oluyole Estate,7.353862,3.847573,561,4,4,4,2,Detached House,Unfurnished,Renovated,3,9.8,0.14,7.7,8.5,6.7,9.6,4,4.2,41200000,False,
149,Iyaganku GRA,7.395917,3.852969,464,5,5,5,2,Detached House,Furnished,New,2,6.2,1.73,9.9,8.6,6.2,8.6,4,4.6,303500000,False,
150,Agodi GRA,7.407122,3.890537,554,5,5,5,2,Detached House,Unfurnished,Renovated,2,6.4,2.91,9.1,5.4,7.7,7.4,4,4.7,259100000,False,
151,Samonda,7.42569,3.900358,280,3,3,4,1,Bungalow,Unfurnished,Renovated,1,13.7,1.32,8.4,5.5,5.7,6.3,3,3.2,17400000,False,
152,Alalubosa,7.374147,3.86236,183,2,1,1,1,Bungalow,Furnished,Renovated,3,6.5,0.93,8.4,9.3,9.0,8.9,4,4.3,53000000,False,
153,Bodija,7.443512,3.920199,432,4,3,5,2,Duplex,Semi-Furnished,New,2,7.7,0.23,10.0,9.5,9.0,9.9,5,5.0,140800000,False,
154,Oluyole Estate,7.377162,3.862323,173,2,1,2,2,Terraced House,Semi-Furnished,Renovated,2,8.5,1.0,7.2,9.3,7.2,9.1,4,4.2,23700000,False,
155,Iyaganku GRA,7.386174,3.876227,317,3,3,5,1,Bungalow,Unfurnished,New,4,3.7,1.31,10.0,7.9,5.7,9.4,4,4.6,121400000,False,
156,Agodi GRA,7.403707,3.905547,420,3,4,5,2,Duplex,Unfurnished,New,3,4.6,1.34,10.0,10.0,6.6,10.0,4,4.7,202200000,False,
157,Bodija,7.445996,3.905935,457,4,4,4,2,Detached House,Semi-Furnished,Old,2,11.5,0.48,10.0,10.0,8.5,9.9,5,5.0,139200000,False,
158,Samonda,7.428429,3.917003,137,2,3,4,1,Flat,Unfurnished,Old,0,8.7,2.9,8.9,7.2,6.2,7.1,3,3.2,12200000,False,
159,Bodija,7.442055,3.927907,566,5,4,4,2,Detached House,Furnished,Old,4,10.7,0.1,9.9,10.0,6.5,10.0,5,5.0,206500000,False,
160,Samonda,7.42829,3.9126,100,2,2,2,1,Flat,Unfurnished,Old,2,9.9,2.27,4.9,4.8,6.2,5.5,3,3.2,9400000,False,
161,Bodija,7.437134,3.918649,313,4,5,6,1,Bungalow,Semi-Furnished,Renovated,2,5.6,0.22,10.0,7.2,9.0,9.9,5,5.0,111000000,False,
162,Alalubosa,7.39802,3.864279,401,4,3,4,2,Duplex,Unfurnished,Renovated,2,3.1,2.56,8.8,8.4,7.8,8.3,4,4.3,55100000,False,
163,Agodi GRA,7.406369,3.907141,342,3,4,4,2,Duplex,Furnished,New,3,6.5,2.37,7.0,8.6,9.0,9.1,4,4.7,215200000,False,
164,Oluyole Estate,7.364697,3.857164,201,3,3,4,1,Terraced House,Unfurnished,New,2,8.1,1.24,6.5,7.8,8.5,6.9,4,4.2,23400000,False,
