location,latitude,longitude,area_sqm,bedrooms,bathrooms,toilets,stories,house_type,furnishing,condition,parking_spaces,distance_to_city_center_km,proximity_to_main_road_km,security_rating,infrastructure_quality,electricity_stability,water_supply,neighborhood_prestige,desirability_score,price_naira
Alalubosa,7.38693,3.855632,282,4,3,4,1,Bungalow,Furnished,New,1,5.3,2.49,7.7,7.8,7.9,7.8,4,4.3,71100000
Challenge,7.333163,3.876627,267,3,4,4,2,Terraced House,Furnished,Old,1,14.3,1.6,7.5,8.4,8.3,6.2,3,3.8,15000000
Bodija,7.435168,3.912678,450,5,5,7,2,Detached House,Semi-Furnished,Renovated,2,13.1,1.85,10.0,10.0,9.0,10.0,5,5.0,183700000
Bodija,7.439933,3.919117,527,5,5,7,1,Detached House,Semi-Furnished,Renovated,3,11.5,1.55,8.1,10.0,8.4,10.0,5,5.0,166500000
Challenge,7.339175,3.874916,199,1,1,3,1,Flat,Unfurnished,Old,0,10.2,1.43,6.1,7.0,7.1,6.4,3,3.8,7400000
Challenge,7.344434,3.883202,164,2,3,4,2,Terraced House,Furnished,Old,1,10.7,1.35,6.9,8.2,6.4,6.9,3,3.8,8700000
Akobo,7.39941,3.916445,295,3,2,2,1,Bungalow,Unfurnished,Renovated,1,11.4,0.61,7.5,8.5,5.1,6.4,3,3.5,14600000
Oluyole Estate,7.354169,3.863271,126,3,4,4,1,Terraced House,Unfurnished,Renovated,2,7.8,0.47,8.7,6.8,9.0,6.5,4,4.2,30700000
Akobo,7.39282,3.910745,292,4,4,4,1,Bungalow,Unfurnished,New,1,9.7,2.24,6.1,5.3,5.3,7.0,3,3.5,23800000
Apete,7.446431,3.878926,273,3,4,5,1,Bungalow,Unfurnished,Old,1,13.9,2.6,5.9,4.0,3.5,4.0,2,2.8,10800000
Bodija,7.436298,3.922534,256,3,2,4,2,Duplex,Unfurnished,Old,3,8.3,1.45,9.4,8.1,7.0,10.0,5,5.0,68500000
Iyaganku GRA,7.38717,3.858684,380,4,4,4,2,Duplex,Semi-Furnished,New,2,8.1,0.58,8.5,8.8,9.0,9.1,4,4.6,243100000
Agodi GRA,7.400205,3.900811,407,3,4,5,2,Duplex,Furnished,New,2,2.5,0.6,8.8,7.5,6.8,8.9,4,4.7,207500000
Agodi GRA,7.39925,3.911662,235,3,3,3,1,Bungalow,Semi-Furnished,New,3,10.6,0.67,7.4,7.2,6.7,10.0,4,4.7,133400000
Jericho,7.409818,3.872969,439,4,4,5,1,Detached House,Semi-Furnished,New,2,6.1,0.44,10.0,9.0,5.8,9.7,4,4.8,125400000
Jericho,7.400593,3.894143,357,4,3,5,3,Detached House,Unfurnished,New,2,6.4,0.27,10.0,10.0,7.1,7.5,4,4.8,136400000
Bodija,7.436346,3.910555,333,4,4,4,2,Detached House,Furnished,Renovated,2,7.8,2.76,9.2,10.0,9.0,9.9,5,5.0,152400000
Akobo,7.408743,3.930491,297,3,4,5,1,Bungalow,Unfurnished,Renovated,0,12.7,0.95,7.6,6.3,5.6,6.8,3,3.5,19300000
Challenge,7.342507,3.886034,218,3,2,2,1,Bungalow,Unfurnished,New,1,10.1,0.84,8.3,7.0,8.2,6.9,3,3.8,13500000
Challenge,7.335006,3.876284,137,2,3,4,2,Terraced House,Unfurnished,Renovated,2,8.4,2.31,8.8,6.1,3.2,5.0,3,3.8,10500000
Akobo,7.390903,3.904444,189,3,3,3,1,Flat,Unfurnished,Old,0,9.5,0.24,6.6,8.3,5.3,8.4,3,3.5,12000000
Bodija,7.426325,3.918887,445,4,4,5,2,Detached House,Unfurnished,New,3,10.7,0.95,8.5,10.0,6.1,9.8,5,5.0,119200000
Oluyole Estate,7.356206,3.850615,211,3,3,4,2,Terraced House,Semi-Furnished,New,2,8.9,1.45,6.6,8.6,7.5,8.1,4,4.2,49800000
Akobo,7.393735,3.919794,329,3,2,2,1,Bungalow,Semi-Furnished,Renovated,2,7.3,0.47,6.2,6.8,7.9,7.3,3,3.5,28600000
Jericho,7.399945,3.884462,263,4,5,6,2,Duplex,Semi-Furnished,Renovated,2,7.3,2.29,7.7,10.0,9.0,9.2,4,4.8,119500000
Bodija,7.43045,3.921737,330,4,3,3,1,Bungalow,Semi-Furnished,Renovated,4,7.2,0.4,8.9,10.0,5.9,10.0,5,5.0,144100000
Akobo,7.421321,3.931427,105,2,1,3,1,Flat,Semi-Furnished,Old,2,9.9,2.98,5.6,6.7,5.9,8.1,3,3.5,11900000
Agodi GRA,7.408162,3.879898,338,4,3,3,3,Detached House,Furnished,Renovated,3,5.7,2.61,7.5,8.9,9.0,9.6,4,4.7,177600000
Akobo,7.396797,3.919496,141,3,2,2,2,Terraced House,Unfurnished,Old,1,15.1,1.32,8.0,6.9,4.4,6.8,3,3.5,12800000
Iyaganku GRA,7.405789,3.863536,451,4,4,5,2,Duplex,Furnished,Renovated,4,4.1,0.58,9.0,9.2,5.6,8.1,4,4.6,236200000
Bodija,7.433466,3.907512,347,4,4,5,1,Bungalow,Unfurnished,New,2,8.8,1.78,10.0,9.5,9.0,10.0,5,5.0,103700000
Alalubosa,7.372508,3.871492,168,2,3,3,1,Bungalow,Semi-Furnished,New,2,2.0,2.08,8.2,7.0,8.0,7.0,4,4.3,42200000
Samonda,7.418464,3.911756,126,2,1,1,1,Terraced House,Unfurnished,New,1,10.2,1.77,6.0,6.2,3.5,6.5,3,3.2,12200000
Bodija,7.445374,3.917628,467,5,4,4,2,Duplex,Furnished,New,2,5.6,2.4,9.2,10.0,9.0,9.9,5,5.0,170300000
Agodi GRA,7.411986,3.899467,327,4,3,4,1,Bungalow,Unfurnished,New,3,6.3,2.89,8.7,8.2,6.8,8.4,4,4.7,147100000
Iyaganku GRA,7.404143,3.879288,314,4,3,3,1,Detached House,Semi-Furnished,New,3,3.7,0.88,9.0,6.9,5.7,8.7,4,4.6,164100000
Bodija,7.42426,3.911915,549,4,5,5,3,Detached House,Furnished,Renovated,3,7.2,2.58,10.0,9.1,8.7,10.0,5,5.0,129400000
Akobo,7.393996,3.920075,265,2,2,3,1,Bungalow,Furnished,Old,0,12.9,1.87,8.4,6.6,4.8,7.4,3,3.5,16700000
Jericho,7.399853,3.890616,311,3,4,5,2,Duplex,Furnished,Renovated,3,5.4,2.41,7.4,9.1,9.0,7.8,4,4.8,108000000
Challenge,7.345099,3.872937,275,4,5,5,1,Bungalow,Unfurnished,New,1,13.9,1.31,8.5,6.6,5.2,6.9,3,3.8,12100000
Agodi GRA,7.406508,3.898303,338,3,3,4,2,Duplex,Furnished,Renovated,2,3.5,2.94,10.0,8.9,4.8,10.0,4,4.7,166100000
Samonda,7.428552,3.906924,138,2,2,2,2,Terraced House,Unfurnished,Renovated,1,5.6,0.97,4.0,4.6,5.0,6.8,3,3.2,10100000
Alalubosa,7.38268,3.855147,263,3,2,2,2,Terraced House,Unfurnished,New,3,2.0,0.53,10.0,6.4,9.0,8.0,4,4.3,51700000
Alalubosa,7.384706,3.86181,360,4,3,4,2,Duplex,Unfurnished,Old,1,2.0,2.25,9.2,7.3,6.5,8.8,4,4.3,57900000
Akobo,7.391905,3.915126,349,3,4,5,1,Bungalow,Unfurnished,Old,2,13.0,1.48,8.6,7.2,3.0,5.1,3,3.5,20600000
Akobo,7.394562,3.919622,78,2,2,2,1,Mini Flat,Unfurnished,Old,0,9.3,2.26,10.0,6.1,5.2,6.1,3,3.5,7300000
Alalubosa,7.373749,3.846912,168,2,2,2,1,Bungalow,Semi-Furnished,Renovated,2,4.1,1.13,7.7,10.0,7.8,9.7,4,4.3,37600000
Bodija,7.432906,3.912384,252,2,3,5,1,Bungalow,Semi-Furnished,Renovated,3,6.2,2.86,10.0,9.6,9.0,9.1,5,5.0,78100000
Bodija,7.436657,3.908394,348,4,3,4,1,Bungalow,Unfurnished,Renovated,2,7.8,0.29,9.0,10.0,8.6,10.0,5,5.0,104200000
Apete,7.448855,3.868232,259,3,3,3,1,Bungalow,Unfurnished,Old,1,15.9,1.22,4.7,6.1,3.0,4.9,2,2.8,10800000
Bodija,7.425401,3.919085,400,3,2,2,2,Duplex,Furnished,Renovated,4,8.7,0.89,9.5,10.0,9.0,10.0,5,5.0,143700000
Alalubosa,7.381929,3.854364,377,4,5,5,2,Duplex,Unfurnished,New,2,2.0,0.26,8.1,10.0,6.5,7.6,4,4.3,87200000
Alalubosa,7.393717,3.86994,348,4,4,5,1,Bungalow,Semi-Furnished,Renovated,3,2.0,1.83,8.1,8.7,7.7,5.8,4,4.3,78200000
Challenge,7.331524,3.872756,239,3,2,2,1,Bungalow,Unfurnished,Renovated,0,14.9,0.55,6.1,8.2,8.0,5.7,3,3.8,11100000
Alalubosa,7.367243,3.865127,268,3,2,3,2,Duplex,Unfurnished,New,2,2.0,1.31,7.7,8.9,5.1,7.8,4,4.3,46200000
Iyaganku GRA,7.396482,3.860234,365,4,4,5,1,Bungalow,Furnished,Old,3,4.2,1.12,9.1,8.3,5.9,9.6,4,4.6,181400000
Bodija,7.440046,3.915473,332,4,3,3,3,Detached House,Semi-Furnished,Renovated,3,8.7,1.73,9.4,9.1,9.0,8.5,5,5.0,122300000
Jericho,7.395672,3.87641,436,4,5,5,2,Duplex,Semi-Furnished,New,2,7.1,2.08,10.0,7.2,8.2,10.0,4,4.8,169800000
Agodi GRA,7.415823,3.885822,394,5,4,5,1,Bungalow,Furnished,New,3,2.0,1.89,9.0,10.0,7.8,9.0,4,4.7,218600000
Oluyole Estate,7.360022,3.85216,268,3,4,4,1,Bungalow,Unfurnished,Renovated,2,6.7,0.8,7.6,6.0,3.5,8.1,4,4.2,39500000
Alalubosa,7.380899,3.867106,188,2,3,4,2,Terraced House,Furnished,New,2,4.2,2.03,7.0,7.9,7.2,8.1,4,4.3,42400000
Alalubosa,7.374705,3.868363,461,5,5,6,2,Duplex,Furnished,Renovated,1,4.2,0.34,7.2,7.0,3.2,7.7,4,4.3,100600000
Agodi GRA,7.419759,3.90191,213,2,2,3,1,Bungalow,Semi-Furnished,Renovated,3,5.9,2.82,9.6,8.2,7.0,9.6,4,4.7,111400000
Oluyole Estate,7.364052,3.84111,434,4,5,7,2,Duplex,Semi-Furnished,New,3,8.6,1.01,10.0,9.4,8.8,7.8,4,4.2,60200000
Bodija,7.425692,3.92413,507,4,3,3,3,Detached House,Furnished,New,3,11.4,0.48,10.0,9.0,7.5,9.8,5,5.0,151400000
Bodija,7.434395,3.902615,464,4,5,5,2,Duplex,Semi-Furnished,Renovated,4,7.2,1.6,9.7,10.0,9.0,9.9,5,5.0,152700000
Akobo,7.405529,3.912079,138,2,3,3,2,Terraced House,Unfurnished,New,1,14.1,0.46,9.4,7.0,7.9,9.1,3,3.5,19200000
Akobo,7.397993,3.929676,89,1,2,2,1,Flat,Semi-Furnished,New,0,10.0,1.55,8.1,5.8,9.0,7.3,3,3.5,9700000
Oluyole Estate,7.360728,3.854479,263,3,4,4,2,Terraced House,Unfurnished,Renovated,2,7.2,2.38,4.5,7.9,7.5,7.8,4,4.2,36300000
Oluyole Estate,7.358644,3.853778,399,3,2,2,2,Duplex,Semi-Furnished,Renovated,2,6.2,2.46,9.0,8.0,9.0,6.7,4,4.2,42100000
Bodija,7.442402,3.913475,465,4,3,3,2,Duplex,Furnished,Old,4,11.0,1.44,9.5,8.1,8.0,9.3,5,5.0,161300000
Akobo,7.399622,3.928617,224,3,2,4,1,Terraced House,Unfurnished,Old,1,11.0,1.21,7.0,8.4,9.0,6.8,3,3.5,11800000
